names,scores,logfoldchanges,pvals,pvals_adj
SNCA,19.156254,4.857093,8.58320001973447e-82,1.6728656838462482e-77
Slc6a3,-4.836528,-0.74654645,1.3212680109961511e-06,0.0011705233424688629
Ddc,-5.1878695,-0.75809926,2.1271330335914993e-07,0.00021819906749841222
