Group,Score_Activation
Control,0.0
Control,-0.021536289648866176
Control,-0.019789966851173835
Control,0.0
Control,-0.0365689510485799
Control,-0.09488999484773464
Control,-0.059711303200610105
Control,0.46408181605131726
Control,0.3182288654140273
Control,0.4026786138115652
Control,-0.06191579633731906
Control,0.33581220651815835
Control,0.5511674775992216
Control,0.4076828678847688
Control,0.38999707922090254
Control,0.5277939466063926
Control,0.3234825677829177
Control,0.21555087332475675
Control,0.22793462404040588
Control,0.3006889772255684
Control,0.2396972980786327
Control,0.27209925518652534
Control,0.3112453418963463
Control,0.24961969419200813
Control,0.197765225816597
Control,0.23711355979094406
Control,0.09069092683037258
Control,0.25959299333651065
Control,0.1831518863488732
Control,0.12249751473748963
Control,0.12926738716686847
Control,-0.02630398664187428
Control,0.44185953275814505
Control,0.23142124086186508
Control,0.17407298712693198
Control,0.1856983756540611
Control,-0.13877354497494904
Control,0.3046762567167165
Control,0.4043555820533131
Control,0.5171140524057242
Control,-0.05719264614143499
Control,0.32087937725028864
Control,0.34864110226349426
Control,0.3660386819371677
Control,0.2669094285305793
Control,0.26884524824893063
Control,0.17989533986800757
Control,0.19761135014669023
Control,0.03083869293249039
Control,0.1720438762386241
Control,0.09222381051168793
Control,0.13171597654072606
Control,0.0814514709688482
Control,0.22894592441975603
Control,0.06269194164137906
Control,0.05289938610665909
Control,0.11218434864594917
Control,0.15971641835560368
Control,-0.2044693426942347
Control,0.07920732931415642
Control,0.1300821450508824
Control,-0.11231583815354568
Control,-0.07905748297139553
Control,0.04888511129313358
Control,0.08639106516588224
Control,0.1625737495379836
Control,-0.04297536724520101
Control,0.11684768973385609
Control,0.06893725724789079
Control,0.08608747153244956
Control,0.2145123526935726
Control,0.23337260204281166
Control,0.42603951951731805
Model,-0.013761927052883798
Model,0.36926478300339133
Model,0.5329965858023568
Control,0.5161802562715749
Control,0.31913072821022803
Control,0.37652187137433657
Control,0.3303361018764534
Control,0.24828129229338272
Control,-0.06318840892817265
Control,0.22667254891283936
Control,0.0677968783920824
Control,0.07107113124003248
Control,0.15816086218375694
Control,0.17046982947001887
Control,0.20461306165293308
Control,0.13978186385953176
Control,0.1126655433223133
Control,0.05635027143867519
Control,0.1508228268511718
Control,0.13984751036866186
Control,0.12402776465102314
Control,0.05130656699804689
Control,0.12999561850974126
Control,0.1259812750545234
Control,0.011545052230690384
Control,0.17215572551740052
Control,0.25884576532221426
Control,0.45776298545807637
Control,-0.04512280365296431
Control,0.27593105001460216
Control,0.31060636189736124
Control,0.19672489285867747
Control,0.23079965252807177
Control,0.07334202042923058
Control,0.0891498620959296
Control,0.06719678912806004
Control,-0.03044027183101064
Control,0.03603944836917397
Control,0.038676177445329835
Control,0.15036885860638743
Control,0.00909423369627732
Control,0.14394118288820534
Control,0.15955984565858192
Control,0.22623909370290526
Control,0.47152027424628384
Model,-0.09879040159908027
Model,0.25623108697442576
Model,0.16031332624662947
Model,0.12447237622910651
Model,0.258807591371313
Model,0.26607131798530503
Model,0.5111820404080377
Model,0.0
Model,0.20729517484854165
Model,0.07764121401668792
Model,0.42372294160700424
Model,0.1186341375544451
Model,0.1925089854992087
Model,0.3324028462204779
Model,0.12673065787307924
Control,0.5815126953050578
Control,0.42384252261158617
Control,0.3760550978989107
Control,0.28232858266054317
Control,0.2135580582762243
Control,0.1493891735406491
Control,0.23431364549043585
Control,0.03404953640573136
Control,0.11725175168070376
Control,0.2015138671815462
Control,-0.0009756404553501741
Control,0.11903547536303499
Control,0.07471649117825951
Control,0.14310919746773168
Control,0.09062323043976339
Control,0.12122228220022113
Control,0.15853615628437054
Control,0.12835275954094488
Control,0.009310865083267061
Control,0.19479349757250866
Control,0.13674641825017853
Control,0.05703903925724521
Control,0.0942505985465204
Control,0.06937856399095976
Control,-0.026503353148134012
Control,0.06392425517972097
Control,0.0035805264975846685
Control,0.28908901044490476
Control,0.23163587605807026
Control,0.15832897877879235
Control,0.1789110277010047
Control,-0.09490162732210447
Control,0.07092589252901446
Control,0.14380223017472488
Control,0.13075300336814377
Control,0.13360608275252972
Control,0.09272141546974483
Control,0.036133400240337815
Control,0.0794705197032346
Control,0.15761102986840766
Control,0.0994571722470797
Control,0.027964084642786657
Control,0.1588657634579883
Control,0.1819678927743714
Control,0.1501242598828132
Control,0.32203835494808
Control,0.3551019610901474
Model,-0.02579553151210415
Model,0.13173303137654843
Model,0.30282995081532627
Model,0.176460181989
Model,0.07099097309303923
Model,0.12260496822355052
Model,0.18941424868444404
