Microglia_Threshold,Model_Mean_Dist,Control_Mean_Dist
0.0,0.0,0.0
0.05,0.0,5.882352941176471
0.1,8.571428571428571,11.764705882352942
0.15000000000000002,32.612038749637414,35.294117647058826
0.2,41.18346732106598,52.94117647058823
0.25,57.83611624891224,78.90713860219468
0.30000000000000004,81.36773904176879,112.14408883674106
0.35000000000000003,99.36934784104241,119.415076939681
0.4,125.33645453486231,120.80371210144446
0.45,128.1935973920052,135.34973613523726
0.5,129.86727292808203,146.10518981021485
0.55,132.23420757021404,146.10518981021485
0.6000000000000001,146.91502305472085,307.9778054174858
0.65,163.98598551246272,315.4832650809899
0.7000000000000001,199.45106292286764,354.6412312544745
0.75,206.83902417323026,455.12021957062814
0.8,239.20611996059094,467.2256454096074
0.8500000000000001,258.759282585465,511.20635716770704
0.9,276.01759398609676,537.343260787093
0.9500000000000001,320.0677546687832,537.343260787093
1.0,320.0677546687832,574.7767080750854
