Microglia_Threshold,Model_Mean_Dist,Control_Mean_Dist,Gap (Ctrl-Model),Ratio (Ctrl/Model),P_value
0.0,0.0,0.0,0.0,,1.0
0.05,0.0,5.882352941176471,5.882352941176471,,0.1633586455321423
0.1,8.571428571428571,11.764705882352942,3.193277310924371,1.3725490196078434,0.731020927196351
0.15000000000000002,32.612038749637414,35.294117647058826,2.6820788974214125,1.0822419879361647,0.9509152983079412
0.2,41.18346732106598,52.94117647058823,11.757709149522249,1.2854958534175678,0.6744017556536492
0.25,57.83611624891224,78.90713860219468,21.071022353282437,1.3643229130842396,0.3675012748500103
0.30000000000000004,81.36773904176879,112.14408883674106,30.776349794972276,1.3782377408714004,0.15450263412308746
0.35000000000000003,99.36934784104241,119.415076939681,20.04572909863859,1.201729502448834,0.39484217743935823
0.4,125.33645453486231,120.80371210144446,-4.532742433417852,0.9638354024753663,0.8883166382650673
0.45,128.1935973920052,135.34973613523726,7.156138743232077,1.0558229029282111,0.7483032694577227
0.5,129.86727292808203,146.10518981021485,16.237916882132822,1.1250347105627225,0.5619873096295902
0.55,132.23420757021404,146.10518981021485,13.870982240000814,1.1048970799226483,0.6172983087522057
0.6000000000000001,146.91502305472085,307.9778054174858,161.06278236276495,2.096298928549836,0.1180111644191005
0.65,163.98598551246272,315.4832650809899,151.49727956852718,1.9238428460523145,0.1334024418591457
0.7000000000000001,199.45106292286764,354.6412312544745,155.19016833160688,1.7780864441500748,0.24980887728435275
0.75,206.83902417323026,455.12021957062814,248.28119539739788,2.2003595375187,0.19512268133449528
0.8,239.20611996059094,467.2256454096074,228.01952544901647,1.953234497037879,0.24782693419305168
0.8500000000000001,258.759282585465,511.20635716770704,252.44707458224207,1.9756058683570585,0.06583680263592714
0.9,276.01759398609676,537.343260787093,261.3256668009962,1.946771772868071,0.03624558436550216
0.9500000000000001,320.0677546687832,537.343260787093,217.27550611830975,1.678842223088526,0.10454919102501199
1.0,320.0677546687832,574.7767080750854,254.70895340630216,1.7957969826416393,0.016676201243188398
