Group,Activation_Score
ROI_Model,0.13751617801627986
ROI_Model,0.07918983638087243
ROI_Model,0.01888819030561839
ROI_Model,0.045764328311784064
ROI_Model,0.11503666599458676
ROI_Model,0.12375162071740478
ROI_Model,0.11944836730276592
ROI_Model,0.16794179461339911
ROI_Model,0.16320769816072223
ROI_Model,0.15405506380691444
ROI_Model,0.16416968589642375
ROI_Model,0.17514904805250392
ROI_Model,0.1309072199872505
ROI_Model,0.24500963879269502
ROI_Model,0.18990971850710966
ROI_Model,0.2110907853380626
ROI_Model,0.248951892390299
ROI_Model,0.14802782564790484
ROI_Model,0.2401470833664621
ROI_Model,0.17164007277791715
ROI_Model,0.19043630354912117
ROI_Model,0.17296952441118763
ROI_Model,0.09769982139402408
ROI_Model,0.059424083434884256
ROI_Model,0.2512492373369742
ROI_Model,0.21908447309215462
ROI_Model,0.19791908620326149
ROI_Model,0.0597413764350789
ROI_Model,0.08324660877453177
ROI_Model,0.17485252511142488
ROI_Model,0.1284845529857155
ROI_Model,0.1930218444620088
ROI_Model,0.264466561867109
ROI_Model,0.18812364067388088
ROI_Model,0.18408887136474233
ROI_Model,0.15119869001998817
ROI_Model,0.21379154462080735
ROI_Model,0.1923171353579365
ROI_Model,0.20404558330608183
ROI_Model,0.0386986765042861
ROI_Model,0.20318708611172578
ROI_Model,0.2512229775372423
ROI_Model,0.06180285410737513
ROI_Model,0.3029989160954487
ROI_Model,0.13161756601620678
ROI_Model,0.1546317980839656
ROI_Model,0.1585872849758918
ROI_Model,0.19738752786132405
ROI_Model,0.26917383968497866
ROI_Model,0.12316997221348147
ROI_Model,0.10610600372354853
ROI_Model,0.11712287892997594
ROI_Model,0.15514318772914548
ROI_Model,0.11411299620450807
ROI_Model,0.09867385830501779
ROI_Model,0.17715124568280038
ROI_Model,0.17432124811404257
ROI_Model,0.1469636795379911
ROI_Model,0.21022128819621924
ROI_Model,0.24939126673350764
ROI_Model,0.15749559487520384
ROI_Model,0.2078014633461517
ROI_Model,0.16505178400505346
ROI_Model,0.11473916937807863
ROI_Model,0.17261983093742275
ROI_Model,0.059304408670933645
ROI_Model,0.21838839822256714
ROI_Model,0.11318773157487613
ROI_Model,0.16047158554910684
ROI_Model,0.18252005000311128
ROI_Model,0.1904086209459847
ROI_Model,0.13846008607509275
ROI_Model,0.17688465105118428
ROI_Model,0.11500320267119138
ROI_Model,0.18845664125886916
ROI_Model,0.16926147374288164
ROI_Model,0.12905588603205773
ROI_Model,0.19543195740966626
ROI_Model,0.10939112142841423
ROI_Model,0.10386342188985054
ROI_Model,0.26377596730239683
ROI_Model,0.15589077722534556
ROI_Model,0.09043271897761451
ROI_Model,0.19215866102688556
ROI_Model,0.1519555886054916
ROI_Model,0.10647596902273171
ROI_Model,0.15564201760584426
ROI_Model,0.18565258599709775
ROI_Model,0.22121919198179724
ROI_Model,0.2309543709026664
ROI_Model,0.016734299917550655
ROI_Model,0.0868703421940373
ROI_Model,0.16506653020746065
ROI_Model,0.11330066117953297
ROI_Model,0.07530711971663581
ROI_Model,0.25315873997665966
ROI_Model,0.22815905220665392
ROI_Model,0.08449859849053751
ROI_Model,0.26759075945702154
ROI_Model,0.13988530755441722
ROI_Model,0.18017483528375358
ROI_Model,0.161488956299381
ROI_Model,0.2215083490646005
ROI_Model,0.10070177583790144
ROI_Model,0.18643458950081
ROI_Model,0.06179999547658557
ROI_Model,0.13236503470834413
ROI_Model,0.19202212559073797
ROI_Model,0.18948719852345444
ROI_Model,0.07337045456919253
ROI_Model,0.09588063653629092
ROI_Model,-0.024984043045851945
ROI_Model,0.14830943360642315
ROI_Model,0.22167140371690494
ROI_Model,0.12986513271246736
ROI_Model,0.1378562264352073
ROI_Model,0.2586681478664097
ROI_Model,0.19021849076750555
ROI_Model,-0.03688300074542247
ROI_Model,0.019839159953288554
ROI_Model,-0.07442521165180101
ROI_Model,-0.006165056988812867
ROI_Model,0.21021390612441693
ROI_Model,-0.21303953853339255
ROI_Model,0.15415652486658682
ROI_Model,0.11129513299850585
ROI_Model,0.2247415375682954
ROI_Model,0.20734482425511083
ROI_Model,0.2264851796852971
ROI_Model,0.09800982947067804
ROI_Model,0.06525722322123773
