Signature,Region,Model_Mean,Control_Mean,Difference,Fold_Change,P_value
DAM_Score,ROI (Core),10.48935918744229,10.340059095106186,0.14930009233610342,1.014438997975047,0.6569491596341954
IFN_Score,ROI (Core),-0.001676922790905198,-0.018130100950008363,0.016453178159103167,,0.01668868479027573
