Region,Distance_to_Itgax
Model_Hemisphere,282.842712474619
Model_Hemisphere,538.5164807134504
Model_Hemisphere,400.0
Model_Hemisphere,583.09518948453
Model_Hemisphere,360.5551275463989
Model_Hemisphere,632.4555320336759
Model_Hemisphere,412.31056256176606
Model_Hemisphere,721.1102550927978
Model_Hemisphere,500.0
Model_Hemisphere,824.6211251235321
Model_Hemisphere,707.1067811865476
Model_Hemisphere,424.26406871192853
Model_Hemisphere,761.5773105863908
Model_Hemisphere,921.9544457292888
Model_Hemisphere,721.1102550927978
Model_Hemisphere,1204.1594578792296
Model_Hemisphere,1063.014581273465
Model_Hemisphere,1063.014581273465
Model_Hemisphere,509.9019513592785
Model_Hemisphere,781.0249675906655
Model_Hemisphere,943.3981132056604
Model_Hemisphere,943.3981132056604
Model_Hemisphere,989.9494936611666
Model_Hemisphere,761.5773105863908
Model_Hemisphere,848.5281374238571
Model_Hemisphere,1140.175425099138
Model_Hemisphere,670.820393249937
Model_Hemisphere,670.820393249937
Model_Hemisphere,761.5773105863908
Model_Hemisphere,921.9544457292888
Model_Hemisphere,1063.014581273465
Model_Hemisphere,583.09518948453
Model_Hemisphere,509.9019513592785
Model_Hemisphere,707.1067811865476
Model_Hemisphere,1252.9964086141667
Model_Hemisphere,400.0
Model_Hemisphere,608.276253029822
Model_Hemisphere,600.0
Model_Hemisphere,608.276253029822
Model_Hemisphere,316.22776601683796
Model_Hemisphere,860.2325267042627
Model_Hemisphere,223.60679774997897
Model_Hemisphere,223.60679774997897
Model_Hemisphere,282.842712474619
Model_Hemisphere,412.31056256176606
Model_Hemisphere,400.0
Model_Hemisphere,1104.536101718726
Model_Hemisphere,223.60679774997897
Model_Hemisphere,200.0
Model_Hemisphere,100.0
Model_Hemisphere,223.60679774997897
Model_Hemisphere,509.9019513592785
Model_Hemisphere,141.4213562373095
Model_Hemisphere,223.60679774997897
Model_Hemisphere,223.60679774997897
Model_Hemisphere,141.4213562373095
Model_Hemisphere,100.0
Model_Hemisphere,141.4213562373095
Model_Hemisphere,200.0
Model_Hemisphere,100.0
Model_Hemisphere,0.0
Model_Hemisphere,100.0
Model_Hemisphere,200.0
Model_Hemisphere,300.0
Model_Hemisphere,500.0
Model_Hemisphere,141.4213562373095
Model_Hemisphere,100.0
Model_Hemisphere,141.4213562373095
Model_Hemisphere,223.60679774997897
Model_Hemisphere,316.22776601683796
Model_Hemisphere,447.21359549995793
Model_Hemisphere,538.5164807134504
Model_Hemisphere,670.820393249937
Model_Hemisphere,761.5773105863908
Model_Hemisphere,1044.030650891055
Model_Hemisphere,1170.4699910719626
Model_Hemisphere,1264.9110640673518
Model_Hemisphere,1140.175425099138
Model_Hemisphere,447.21359549995793
Model_Hemisphere,223.60679774997897
Model_Hemisphere,141.4213562373095
Model_Hemisphere,100.0
Model_Hemisphere,0.0
Model_Hemisphere,100.0
Model_Hemisphere,223.60679774997897
Model_Hemisphere,316.22776601683796
Model_Hemisphere,1603.1219541881396
Model_Hemisphere,360.5551275463989
Model_Hemisphere,824.6211251235321
Model_Hemisphere,1513.2745950421556
Model_Hemisphere,1711.724276862369
Model_Hemisphere,1811.0770276274834
Model_Hemisphere,583.09518948453
Model_Hemisphere,1236.9316876852981
Model_Hemisphere,1334.1664064126335
Model_Hemisphere,1529.7058540778355
Model_Hemisphere,1077.0329614269008
Control_Hemisphere,806.2257748298549
Control_Hemisphere,989.9494936611666
Control_Hemisphere,921.9544457292888
Control_Hemisphere,860.2325267042627
Control_Hemisphere,412.31056256176606
Control_Hemisphere,1166.19037896906
Control_Hemisphere,1081.6653826391969
Control_Hemisphere,1000.0
Control_Hemisphere,632.4555320336759
Control_Hemisphere,538.5164807134504
Control_Hemisphere,632.4555320336759
Control_Hemisphere,1300.0
Control_Hemisphere,761.5773105863908
Control_Hemisphere,1414.213562373095
Control_Hemisphere,1456.0219778561036
Control_Hemisphere,894.4271909999159
Control_Hemisphere,1334.1664064126335
Control_Hemisphere,1029.5630140987
Control_Hemisphere,1118.033988749895
Control_Hemisphere,1300.0
Control_Hemisphere,1236.9316876852981
Control_Hemisphere,1334.1664064126335
Control_Hemisphere,1303.8404810405298
Control_Hemisphere,0.0
Control_Hemisphere,1315.2946437965904
Control_Hemisphere,1414.213562373095
Control_Hemisphere,1513.2745950421556
Control_Hemisphere,0.0
Control_Hemisphere,1403.56688476182
Control_Hemisphere,1503.3296378372909
Control_Hemisphere,1581.1388300841897
Control_Hemisphere,1500.0
Control_Hemisphere,1400.0
Control_Hemisphere,1500.0
Control_Hemisphere,1700.0
Control_Hemisphere,1503.3296378372909
Control_Hemisphere,1414.213562373095
Control_Hemisphere,781.0249675906655
Control_Hemisphere,1431.7821063276353
Control_Hemisphere,1529.7058540778355
Control_Hemisphere,1456.0219778561036
Control_Hemisphere,1486.6068747318504
Control_Hemisphere,1581.1388300841897
Control_Hemisphere,1341.640786499874
Control_Hemisphere,1523.1546211727816
Control_Hemisphere,1615.5494421403512
Control_Hemisphere,565.685424949238
Control_Hemisphere,500.0
Control_Hemisphere,447.21359549995793
Control_Hemisphere,400.0
Control_Hemisphere,1476.48230602334
Control_Hemisphere,1565.2475842498527
Control_Hemisphere,1655.294535724685
Control_Hemisphere,2501.999200639361
Control_Hemisphere,360.5551275463989
Control_Hemisphere,1526.4337522473747
Control_Hemisphere,1700.0
Control_Hemisphere,632.4555320336759
Control_Hemisphere,360.5551275463989
Control_Hemisphere,282.842712474619
Control_Hemisphere,1500.0
Control_Hemisphere,1104.536101718726
Control_Hemisphere,1562.049935181331
Control_Hemisphere,2906.8883707497266
Control_Hemisphere,1216.552506059644
Control_Hemisphere,100.0
Control_Hemisphere,1555.6349186104046
Control_Hemisphere,2915.4759474226503
Control_Hemisphere,854.4003745317531
Control_Hemisphere,1334.1664064126335
Control_Hemisphere,412.31056256176606
Control_Hemisphere,316.22776601683796
Control_Hemisphere,223.60679774997897
Control_Hemisphere,141.4213562373095
Control_Hemisphere,100.0
Control_Hemisphere,1627.8820596099706
Control_Hemisphere,3125.699921617557
Control_Hemisphere,565.685424949238
Control_Hemisphere,806.2257748298549
Control_Hemisphere,1170.4699910719626
Control_Hemisphere,1019.803902718557
Control_Hemisphere,141.4213562373095
Control_Hemisphere,1702.93863659264
Control_Hemisphere,3238.8269481403295
Control_Hemisphere,538.5164807134504
Control_Hemisphere,0.0
Control_Hemisphere,1615.5494421403512
Control_Hemisphere,1708.8007490635061
Control_Hemisphere,3354.1019662496847
Control_Hemisphere,608.276253029822
Control_Hemisphere,141.4213562373095
Control_Hemisphere,1486.6068747318504
Control_Hemisphere,3471.3109915419564
Control_Hemisphere,700.0
Control_Hemisphere,400.0
Control_Hemisphere,282.842712474619
Control_Hemisphere,806.2257748298549
Control_Hemisphere,141.4213562373095
Control_Hemisphere,509.9019513592785
Control_Hemisphere,806.2257748298549
Control_Hemisphere,1300.0
Control_Hemisphere,3891.015291668744
Control_Hemisphere,1702.93863659264
Control_Hemisphere,223.60679774997897
Control_Hemisphere,223.60679774997897
Control_Hemisphere,1910.49731745428
Control_Hemisphere,223.60679774997897
Control_Hemisphere,200.0
Control_Hemisphere,1824.8287590894658
Control_Hemisphere,1923.5384061671346
Control_Hemisphere,424.26406871192853
Control_Hemisphere,360.5551275463989
Control_Hemisphere,1843.9088914585775
Control_Hemisphere,721.1102550927978
Control_Hemisphere,781.0249675906655
Control_Hemisphere,721.1102550927978
Control_Hemisphere,640.3124237432849
Control_Hemisphere,565.685424949238
Control_Hemisphere,500.0
Control_Hemisphere,1486.6068747318504
Control_Hemisphere,1868.1541692269404
Control_Hemisphere,860.2325267042627
Control_Hemisphere,781.0249675906655
Control_Hemisphere,707.1067811865476
Control_Hemisphere,640.3124237432849
Control_Hemisphere,781.0249675906655
Control_Hemisphere,640.3124237432849
Control_Hemisphere,848.5281374238571
Control_Hemisphere,781.0249675906655
Control_Hemisphere,1931.3207915827966
Control_Hemisphere,2024.8456731316587
Control_Hemisphere,1746.424919657298
Control_Hemisphere,824.6211251235321
Control_Hemisphere,921.9544457292888
Control_Hemisphere,707.1067811865476
Control_Hemisphere,806.2257748298549
Control_Hemisphere,608.276253029822
Control_Hemisphere,707.1067811865476
Control_Hemisphere,707.1067811865476
Control_Hemisphere,316.22776601683796
Control_Hemisphere,670.820393249937
Control_Hemisphere,200.0
Control_Hemisphere,632.4555320336759
Control_Hemisphere,500.0
Control_Hemisphere,583.09518948453
Control_Hemisphere,412.31056256176606
Control_Hemisphere,500.0
Control_Hemisphere,565.685424949238
Control_Hemisphere,640.3124237432849
Control_Hemisphere,538.5164807134504
Control_Hemisphere,583.09518948453
Control_Hemisphere,600.0
Control_Hemisphere,608.276253029822
Control_Hemisphere,1431.7821063276353
Control_Hemisphere,1923.5384061671346
Control_Hemisphere,1910.49731745428
Control_Hemisphere,728.0109889280518
Control_Hemisphere,989.9494936611666
Control_Hemisphere,806.2257748298549
Control_Hemisphere,824.6211251235321
Control_Hemisphere,1000.0
Control_Hemisphere,824.6211251235321
Control_Hemisphere,921.9544457292888
Control_Hemisphere,860.2325267042627
Control_Hemisphere,905.5385138137417
Control_Hemisphere,1004.987562112089
Control_Hemisphere,728.0109889280518
Control_Hemisphere,860.2325267042627
Control_Hemisphere,921.9544457292888
Control_Hemisphere,989.9494936611666
Control_Hemisphere,1063.014581273465
Control_Hemisphere,848.5281374238571
Control_Hemisphere,806.2257748298549
Control_Hemisphere,894.4271909999159
Control_Hemisphere,707.1067811865476
Control_Hemisphere,761.5773105863908
Control_Hemisphere,824.6211251235321
Control_Hemisphere,1170.4699910719626
Control_Hemisphere,632.4555320336759
Control_Hemisphere,761.5773105863908
Control_Hemisphere,1208.3045973594571
Control_Hemisphere,509.9019513592785
Control_Hemisphere,670.820393249937
Control_Hemisphere,412.31056256176606
Control_Hemisphere,447.21359549995793
Control_Hemisphere,223.60679774997897
Control_Hemisphere,412.31056256176606
Control_Hemisphere,316.22776601683796
Control_Hemisphere,316.22776601683796
Control_Hemisphere,360.5551275463989
Control_Hemisphere,424.26406871192853
Control_Hemisphere,0.0
Control_Hemisphere,200.0
Control_Hemisphere,500.0
Control_Hemisphere,141.4213562373095
Control_Hemisphere,316.22776601683796
Control_Hemisphere,100.0
Control_Hemisphere,316.22776601683796
Control_Hemisphere,509.9019513592785
Control_Hemisphere,141.4213562373095
Control_Hemisphere,565.685424949238
Control_Hemisphere,640.3124237432849
Control_Hemisphere,200.0
Control_Hemisphere,943.3981132056604
Control_Hemisphere,781.0249675906655
Control_Hemisphere,670.820393249937
Control_Hemisphere,412.31056256176606
Control_Hemisphere,447.21359549995793
Control_Hemisphere,806.2257748298549
Control_Hemisphere,500.0
Control_Hemisphere,412.31056256176606
Control_Hemisphere,670.820393249937
Control_Hemisphere,640.3124237432849
Control_Hemisphere,728.0109889280518
Control_Hemisphere,538.5164807134504
Control_Hemisphere,943.3981132056604
Control_Hemisphere,905.5385138137417
Control_Hemisphere,1100.0
Control_Hemisphere,1140.175425099138
Control_Hemisphere,223.60679774997897
Control_Hemisphere,640.3124237432849
Control_Hemisphere,1216.552506059644
Control_Hemisphere,500.0
Control_Hemisphere,1200.0
Control_Hemisphere,583.09518948453
Control_Hemisphere,316.22776601683796
Control_Hemisphere,1360.1470508735442
Control_Hemisphere,1392.838827718412
Control_Hemisphere,412.31056256176606
Control_Hemisphere,1414.213562373095
Control_Hemisphere,282.842712474619
Control_Hemisphere,100.0
Control_Hemisphere,1272.7922061357856
Control_Hemisphere,1421.2670403551895
Control_Hemisphere,1503.3296378372909
Control_Hemisphere,360.5551275463989
Control_Hemisphere,640.3124237432849
Control_Hemisphere,707.1067811865476
Control_Hemisphere,728.0109889280518
Control_Hemisphere,1063.014581273465
Control_Hemisphere,1476.48230602334
Control_Hemisphere,1565.2475842498527
Control_Hemisphere,282.842712474619
Control_Hemisphere,1000.0
Control_Hemisphere,1081.6653826391969
Control_Hemisphere,1252.9964086141667
Control_Hemisphere,1341.640786499874
Control_Hemisphere,921.9544457292888
Control_Hemisphere,943.3981132056604
Control_Hemisphere,1029.5630140987
Control_Hemisphere,1300.0
Control_Hemisphere,1655.294535724685
Control_Hemisphere,640.3124237432849
Control_Hemisphere,640.3124237432849
Control_Hemisphere,984.8857801796105
Control_Hemisphere,1044.030650891055
Control_Hemisphere,1236.9316876852981
Control_Hemisphere,600.0
Control_Hemisphere,1019.803902718557
Control_Hemisphere,1216.552506059644
Control_Hemisphere,1655.294535724685
Control_Hemisphere,781.0249675906655
Control_Hemisphere,316.22776601683796
Control_Hemisphere,1081.6653826391969
Control_Hemisphere,1166.19037896906
Control_Hemisphere,1252.9964086141667
Control_Hemisphere,1208.3045973594571
Control_Hemisphere,1081.6653826391969
Control_Hemisphere,721.1102550927978
Control_Hemisphere,200.0
Control_Hemisphere,1118.033988749895
Control_Hemisphere,1300.0
Control_Hemisphere,1562.049935181331
Control_Hemisphere,1077.0329614269008
