Distance_to_MG_High,T_Activation_Score
447.21359549995793,0.8466666666666666
500.0,1.0433333333333334
424.26406871192853,0.7833333333333332
223.60679774997897,0.7933333333333332
141.4213562373095,0.2466666666666667
447.21359549995793,0.31333333333333335
0.0,0.6266666666666666
500.0,0.6166666666666667
100.0,-0.15333333333333338
360.5551275463989,0.29333333333333333
509.9019513592785,0.43333333333333335
424.26406871192853,0.7333333333333333
424.26406871192853,0.44333333333333336
640.3124237432849,0.16333333333333333
200.0,0.6200000000000001
200.0,0.046666666666666634
223.60679774997897,0.56
360.5551275463989,-0.31
141.4213562373095,-0.23333333333333334
360.5551275463989,1.5533333333333332
0.0,1.02
141.4213562373095,1.25
0.0,0.4933333333333333
412.31056256176606,1.2999999999999998
0.0,0.1433333333333333
141.4213562373095,1.0566666666666666
200.0,0.6066666666666667
223.60679774997897,0.3766666666666667
223.60679774997897,0.52
300.0,0.8833333333333333
316.22776601683796,0.5433333333333333
100.0,0.37333333333333335
200.0,0.8133333333333332
360.5551275463989,0.010000000000000009
412.31056256176606,0.7599999999999999
