names,scores,logfoldchanges,pvals,pvals_adj
SNCA,19.150902,4.8307548,9.512586781221858e-82,2.6206225323588097e-77
Slc6a3,-4.8743563,-0.7377696,1.0916376333880272e-06,0.0011566740447002599
Ddc,-5.241044,-0.75500584,1.5967073119146495e-07,0.00019994404425425764
Gm49337,-5.6493073,-0.7347276,1.610957999867487e-08,2.335804312544705e-05
